county,date,vaccines_started,vaccines_completed
Allen ,3/11/21,824,499
Allen ,3/12/21,591,813
Allen ,3/13/21,408,211
Allen ,3/14/21,65,10
Allen ,3/15/21,240,110
Allen ,3/16/21,323,160
Allen ,3/17/21,323,198
Allen ,3/18/21,593,170
Allen ,3/19/21,605,964
Allen ,3/20/21,127,120
Allen ,3/21/21,45,23
Allen ,3/22/21,140,215
Allen ,3/23/21,369,387
Allen ,3/24/21,521,289
Allen ,3/25/21,296,810
Allen ,3/26/21,228,380
Allen ,3/27/21,271,108
Allen ,3/28/21,11,43
Allen ,3/29/21,349,271
Allen ,3/30/21,358,273
Allen ,3/31/21,668,686
Allen ,4/1/21,440,1097
Allen ,4/2/21,670,742
Allen ,4/3/21,273,307
Allen ,4/4/21,21,18
Allen ,4/5/21,121,197
Allen ,4/6/21,205,292
Allen ,4/7/21,182,281
Allen ,4/8/21,694,1225
Allen ,4/9/21,263,405
Allen ,4/10/21,301,331
Allen ,4/11/21,44,57
Allen ,4/12/21,84,195
Allen ,4/13/21,169,400
Allen ,4/14/21,131,453
Allen ,4/15/21,94,258
Allen ,4/16/21,72,549
Allen ,4/17/21,44,285
Allen ,4/18/21,8,43
Allen ,4/19/21,118,218
Allen ,4/20/21,70,180
Allen ,4/21/21,58,211
Allen ,4/22/21,156,353
Allen ,4/23/21,45,203
Allen ,4/24/21,30,110
Allen ,4/25/21,44,25
Ashland,12/14/20,0,0
Ashland,12/15/20,0,0
Ashland,12/16/20,1,0
Ashland,12/17/20,2,0
Ashland,12/18/20,0,0
Ashland,12/19/20,0,0
Ashland,12/20/20,0,0
Ashland,12/21/20,6,0
Ashland,12/22/20,11,0
Ashland,12/23/20,51,0
Ashland,12/24/20,23,0
Ashland,12/25/20,0,0
Ashland,12/26/20,97,0
Ashland,12/27/20,3,0
Ashland,12/28/20,244,0
Ashland,12/29/20,68,0
Ashland,12/30/20,86,0
Ashland,12/31/20,56,0
Ashland,1/1/21,5,1
Ashland,1/2/21,7,0
Ashland,1/3/21,5,0
Ashland,1/4/21,116,0
Ashland,1/5/21,194,1
Ashland,1/6/21,130,2
Ashland,1/7/21,48,1
Ashland,1/8/21,150,3
Ashland,1/9/21,6,0
Ashland,1/10/21,2,0
Ashland,1/11/21,44,4
Ashland,1/12/21,34,9
Ashland,1/13/21,60,6
Ashland,1/14/21,122,3
Ashland,1/15/21,110,7
Ashland,1/16/21,52,83
Ashland,1/17/21,4,0
Ashland,1/18/21,98,146
Ashland,1/19/21,93,4
Ashland,1/20/21,36,55
Ashland,1/21/21,106,29
Ashland,1/22/21,390,11
Ashland,1/23/21,36,6
Ashland,1/24/21,38,1
Ashland,1/25/21,96,85
Ashland,1/26/21,67,190
Ashland,1/27/21,81,80
Ashland,1/28/21,50,59
Ashland,1/29/21,526,75
Ashland,1/30/21,27,1
Ashland,1/31/21,8,4
Ashland,2/1/21,26,84
Ashland,2/2/21,46,59
Ashland,2/3/21,39,125
Ashland,2/4/21,112,99
Ashland,2/5/21,274,107
Ashland,2/6/21,37,40
Ashland,2/7/21,19,9
Ashland,2/8/21,58,113
Ashland,2/9/21,30,63
Ashland,2/10/21,73,80
Ashland,2/11/21,344,148
Ashland,2/12/21,73,127
Ashland,2/13/21,32,16
Ashland,2/14/21,11,16
Ashland,2/15/21,41,56
Ashland,2/16/21,28,57
Ashland,2/17/21,134,89
Ashland,2/18/21,35,53
Ashland,2/19/21,552,376
Ashland,2/20/21,6,31
Ashland,2/21/21,4,23
Ashland,2/22/21,11,20
Ashland,2/23/21,187,59
Ashland,2/24/21,30,51
Ashland,2/25/21,121,553
Ashland,2/26/21,501,86
Ashland,2/27/21,66,22
Ashland,2/28/21,27,13
Ashland,3/1/21,63,57
Ashland,3/2/21,108,38
Ashland,3/3/21,378,62
Ashland,3/4/21,563,294
Ashland,3/5/21,402,349
Ashland,3/6/21,64,39
Ashland,3/7/21,18,15
Ashland,3/8/21,370,320
Ashland,3/9/21,144,50
Ashland,3/10/21,513,63
Ashland,3/11/21,172,417
Ashland,3/12/21,843,483
Ashland,3/13/21,75,57
Ashland,3/14/21,25,5
Ashland,3/15/21,53,14
Ashland,3/16/21,128,62
Ashland,3/17/21,338,102
Ashland,3/18/21,567,95
Ashland,3/19/21,102,75
Ashland,3/20/21,59,10
Ashland,3/21/21,11,4
Ashland,3/22/21,91,16
Ashland,3/23/21,82,77
Ashland,3/24/21,425,117
Ashland,3/25/21,65,92
Ashland,3/26/21,308,644
Ashland,3/27/21,54,50
Ashland,3/28/21,14,19
Ashland,3/29/21,34,55
Ashland,3/30/21,77,80
Ashland,3/31/21,184,163
Ashland,4/1/21,107,106
Ashland,4/2/21,136,406
Ashland,4/3/21,36,120
Ashland,4/4/21,13,17
Ashland,4/5/21,34,66
Ashland,4/6/21,75,105
Ashland,4/7/21,215,185
Ashland,4/8/21,260,637
Ashland,4/9/21,76,134
Ashland,4/10/21,23,74
Ashland,4/11/21,13,27
Ashland,4/12/21,44,72
Ashland,4/13/21,78,82
Ashland,4/14/21,63,76
Ashland,4/15/21,116,82
Ashland,4/16/21,65,98
Ashland,4/17/21,60,61
Ashland,4/18/21,18,18
Ashland,4/19/21,62,51
Ashland,4/20/21,67,57
Ashland,4/21/21,71,61
Ashland,4/22/21,81,66
Ashland,4/23/21,48,85
Ashland,4/24/21,54,78
Ashland,4/25/21,11,4
Ashtabula,12/14/20,0,0
Ashtabula,12/15/20,0,0
Ashtabula,12/16/20,0,0
Ashtabula,12/17/20,2,0
Ashtabula,12/18/20,8,0
Ashtabula,12/19/20,0,0
Ashtabula,12/20/20,0,0
Ashtabula,12/21/20,62,0
Ashtabula,12/22/20,45,0
Ashtabula,12/23/20,305,0
Ashtabula,12/24/20,14,0
Ashtabula,12/25/20,3,0
Ashtabula,12/26/20,44,0
Ashtabula,12/27/20,9,0
Ashtabula,12/28/20,97,0
Ashtabula,12/29/20,280,0
Ashtabula,12/30/20,277,0
Ashtabula,12/31/20,150,0
Ashtabula,1/1/21,89,11
Ashtabula,1/2/21,9,0
Ashtabula,1/3/21,4,0
Ashtabula,1/4/21,138,1
Ashtabula,1/5/21,294,3
Ashtabula,1/6/21,299,1
Ashtabula,1/7/21,300,2
Ashtabula,1/8/21,204,3
Ashtabula,1/9/21,79,0
Ashtabula,1/10/21,3,0
Ashtabula,1/11/21,148,51
Ashtabula,1/12/21,142,4
Ashtabula,1/13/21,260,267
Ashtabula,1/14/21,195,6
Ashtabula,1/15/21,271,3
Ashtabula,1/16/21,8,3
Ashtabula,1/17/21,3,2
Ashtabula,1/18/21,37,9
Ashtabula,1/19/21,216,121
Ashtabula,1/20/21,164,37
Ashtabula,1/21/21,328,36
Ashtabula,1/22/21,289,24
Ashtabula,1/23/21,745,9
Ashtabula,1/24/21,118,5
Ashtabula,1/25/21,412,125
Ashtabula,1/26/21,232,201
Ashtabula,1/27/21,248,286
Ashtabula,1/28/21,598,327
Ashtabula,1/29/21,436,61
Ashtabula,1/30/21,251,77
Ashtabula,1/31/21,39,2
Ashtabula,2/1/21,169,188
Ashtabula,2/2/21,207,188
Ashtabula,2/3/21,271,298
Ashtabula,2/4/21,642,158
Ashtabula,2/5/21,455,272
Ashtabula,2/6/21,252,16
Ashtabula,2/7/21,46,2
Ashtabula,2/8/21,220,92
Ashtabula,2/9/21,106,129
Ashtabula,2/10/21,87,118
Ashtabula,2/11/21,185,346
Ashtabula,2/12/21,297,317
Ashtabula,2/13/21,213,637
Ashtabula,2/14/21,22,24
Ashtabula,2/15/21,84,158
Ashtabula,2/16/21,56,308
Ashtabula,2/17/21,87,257
Ashtabula,2/18/21,86,383
Ashtabula,2/19/21,31,233
Ashtabula,2/20/21,107,52
Ashtabula,2/21/21,16,110
Ashtabula,2/22/21,14,417
Ashtabula,2/23/21,112,219
Ashtabula,2/24/21,370,233
Ashtabula,2/25/21,719,359
Ashtabula,2/26/21,307,306
Ashtabula,2/27/21,189,218
Ashtabula,2/28/21,55,20
Ashtabula,3/1/21,136,75
Ashtabula,3/2/21,272,177
Ashtabula,3/3/21,475,261
Ashtabula,3/4/21,769,666
Ashtabula,3/5/21,387,600
Ashtabula,3/6/21,288,358
Ashtabula,3/7/21,332,312
Ashtabula,3/8/21,320,380
Ashtabula,3/9/21,487,335
Ashtabula,3/10/21,532,317
Ashtabula,3/11/21,983,471
Ashtabula,3/12/21,505,550
Ashtabula,3/13/21,1216,695
Ashtabula,3/14/21,166,113
Ashtabula,3/15/21,301,112
Ashtabula,3/16/21,416,139
Ashtabula,3/17/21,361,259
Ashtabula,3/18/21,882,274
Ashtabula,3/19/21,296,269
Ashtabula,3/20/21,174,176
Ashtabula,3/21/21,51,39
Ashtabula,3/22/21,653,115
Ashtabula,3/23/21,312,264
Ashtabula,3/24/21,511,211
Ashtabula,3/25/21,337,767
Ashtabula,3/26/21,496,304
Ashtabula,3/27/21,545,205
Ashtabula,3/28/21,66,55
Ashtabula,3/29/21,146,153
Ashtabula,3/30/21,854,293
Ashtabula,3/31/21,530,504
Ashtabula,4/1/21,583,703
Ashtabula,4/2/21,273,234
Ashtabula,4/3/21,511,247
Ashtabula,4/4/21,44,64
Ashtabula,4/5/21,195,236
Ashtabula,4/6/21,391,411
Ashtabula,4/7/21,546,384
Ashtabula,4/8/21,557,698
Ashtabula,4/9/21,293,326
Ashtabula,4/10/21,649,599
Ashtabula,4/11/21,54,101
Ashtabula,4/12/21,105,257
Ashtabula,4/13/21,391,314
Ashtabula,4/14/21,224,295
Ashtabula,4/15/21,167,754
Ashtabula,4/16/21,191,277
Ashtabula,4/17/21,371,124
Ashtabula,4/18/21,26,56
Ashtabula,4/19/21,63,603
Ashtabula,4/20/21,149,291
Ashtabula,4/21/21,121,477
Ashtabula,4/22/21,161,272
Ashtabula,4/23/21,109,236
Ashtabula,4/24/21,174,437
Ashtabula,4/25/21,24,7
Athens,12/14/20,0,0
Athens,12/15/20,1,0
Athens,12/16/20,2,0
Athens,12/17/20,0,0
Athens,12/18/20,33,0
Athens,12/19/20,0,0
Athens,12/20/20,0,0
Athens,12/21/20,8,0
Athens,12/22/20,25,0
Athens,12/23/20,308,0
Athens,12/24/20,16,0
Athens,12/25/20,0,0
Athens,12/26/20,9,0
Athens,12/27/20,4,0
Athens,12/28/20,113,0
Athens,12/29/20,141,0
Athens,12/30/20,60,0
Athens,12/31/20,72,2
Athens,1/1/21,2,0
Athens,1/2/21,12,0
Athens,1/3/21,0,0
Athens,1/4/21,52,2
Athens,1/5/21,47,1
Athens,1/6/21,40,3
Athens,1/7/21,233,0
Athens,1/8/21,142,33
Athens,1/9/21,9,0
Athens,1/10/21,3,0
Athens,1/11/21,25,0
Athens,1/12/21,62,6
Athens,1/13/21,187,57
Athens,1/14/21,132,3
Athens,1/15/21,303,12
Athens,1/16/21,21,1
Athens,1/17/21,0,1
Athens,1/18/21,70,58
Athens,1/19/21,85,81
Athens,1/20/21,119,36
Athens,1/21/21,565,161
Athens,1/22/21,301,39
Athens,1/23/21,53,3
Athens,1/24/21,9,3
Athens,1/25/21,127,70
Athens,1/26/21,105,56
Athens,1/27/21,254,63
Athens,1/28/21,550,60
Athens,1/29/21,136,18
Athens,1/30/21,32,4
Athens,1/31/21,4,1
Athens,2/1/21,92,31
Athens,2/2/21,85,58
Athens,2/3/21,125,77
Athens,2/4/21,326,225
Athens,2/5/21,983,137
Athens,2/6/21,45,14
Athens,2/7/21,18,3
Athens,2/8/21,73,65
Athens,2/9/21,120,57
Athens,2/10/21,137,144
Athens,2/11/21,341,349
Athens,2/12/21,438,468
Athens,2/13/21,70,22
Athens,2/14/21,20,2
Athens,2/15/21,47,10
Athens,2/16/21,27,17
Athens,2/17/21,228,246
Athens,2/18/21,345,548
Athens,2/19/21,51,160
Athens,2/20/21,1,45
Athens,2/21/21,14,15
Athens,2/22/21,71,118
Athens,2/23/21,142,131
Athens,2/24/21,325,125
Athens,2/25/21,390,298
Athens,2/26/21,115,912
Athens,2/27/21,49,59
Athens,2/28/21,14,5
Athens,3/1/21,88,57
Athens,3/2/21,83,59
Athens,3/3/21,385,123
Athens,3/4/21,183,389
Athens,3/5/21,547,531
Athens,3/6/21,73,68
Athens,3/7/21,28,20
Athens,3/8/21,139,137
Athens,3/9/21,657,317
Athens,3/10/21,596,237
Athens,3/11/21,529,700
Athens,3/12/21,239,212
Athens,3/13/21,71,57
Athens,3/14/21,18,27
Athens,3/15/21,95,54
Athens,3/16/21,545,49
Athens,3/17/21,260,264
Athens,3/18/21,601,334
Athens,3/19/21,290,107
Athens,3/20/21,110,11
Athens,3/21/21,8,10
Athens,3/22/21,145,57
Athens,3/23/21,836,177
Athens,3/24/21,381,335
Athens,3/25/21,902,236
Athens,3/26/21,216,154
Athens,3/27/21,130,59
Athens,3/28/21,17,14
Athens,3/29/21,224,172
Athens,3/30/21,408,613
Athens,3/31/21,876,376
Athens,4/1/21,876,570
Athens,4/2/21,205,242
Athens,4/3/21,97,66
Athens,4/4/21,14,12
Athens,4/5/21,111,78
Athens,4/6/21,493,227
Athens,4/7/21,578,443
Athens,4/8/21,356,706
Athens,4/9/21,327,227
Athens,4/10/21,65,74
Athens,4/11/21,33,13
Athens,4/12/21,268,311
Athens,4/13/21,313,224
Athens,4/14/21,218,243
Athens,4/15/21,71,1442
Athens,4/16/21,120,363
Athens,4/17/21,30,88
Athens,4/18/21,27,24
Athens,4/19/21,101,119
Athens,4/20/21,151,223
Athens,4/21/21,54,760
Athens,4/22/21,45,887
Athens,4/23/21,74,214
Athens,4/24/21,20,78
Athens,4/25/21,6,2
Auglaize,12/14/20,0,0
Auglaize,12/15/20,0,0
Auglaize,12/16/20,0,0
Auglaize,12/17/20,0,0
Auglaize,12/18/20,0,0
Auglaize,12/19/20,0,0
Auglaize,12/20/20,0,0
Auglaize,12/21/20,13,0
Auglaize,12/22/20,22,0
Auglaize,12/23/20,51,0
Auglaize,12/24/20,20,0
Auglaize,12/25/20,0,0
Auglaize,12/26/20,2,0
Auglaize,12/27/20,1,0
Auglaize,12/28/20,114,0
Auglaize,12/29/20,120,0
Auglaize,12/30/20,161,0
Auglaize,12/31/20,13,0
Auglaize,1/1/21,2,0
Auglaize,1/2/21,1,0
Auglaize,1/3/21,0,0
Auglaize,1/4/21,58,0
Auglaize,1/5/21,22,1
Auglaize,1/6/21,90,0
Auglaize,1/7/21,65,0
Auglaize,1/8/21,116,0
Auglaize,1/9/21,35,0
Auglaize,1/10/21,1,0
Auglaize,1/11/21,315,15
Auglaize,1/12/21,33,16
Auglaize,1/13/21,73,5
Auglaize,1/14/21,100,5
Auglaize,1/15/21,77,0
Auglaize,1/16/21,9,1
Auglaize,1/17/21,32,0
Auglaize,1/18/21,26,27
Auglaize,1/19/21,106,75
Auglaize,1/20/21,192,56
Auglaize,1/21/21,293,23
Auglaize,1/22/21,192,13
Auglaize,1/23/21,4,0
Auglaize,1/24/21,14,1
Auglaize,1/25/21,175,55
Auglaize,1/26/21,32,45
Auglaize,1/27/21,98,114
Auglaize,1/28/21,130,40
Auglaize,1/29/21,181,95
Auglaize,1/30/21,18,0
Auglaize,1/31/21,3,0
Auglaize,2/1/21,234,227
Auglaize,2/2/21,42,107
Auglaize,2/3/21,181,51
Auglaize,2/4/21,82,115
Auglaize,2/5/21,201,70
Auglaize,2/6/21,27,48
Auglaize,2/7/21,24,30
Auglaize,2/8/21,90,77
Auglaize,2/9/21,51,35
Auglaize,2/10/21,138,126
Auglaize,2/11/21,78,68
Auglaize,2/12/21,168,115
Auglaize,2/13/21,50,1
Auglaize,2/14/21,7,3
Auglaize,2/15/21,57,50
Auglaize,2/16/21,18,9
Auglaize,2/17/21,104,101
Auglaize,2/18/21,27,273
Auglaize,2/19/21,104,220
Auglaize,2/20/21,7,6
Auglaize,2/21/21,4,16
Auglaize,2/22/21,41,263
Auglaize,2/23/21,103,93
Auglaize,2/24/21,206,170
Auglaize,2/25/21,116,145
Auglaize,2/26/21,548,200
Auglaize,2/27/21,202,34
Auglaize,2/28/21,11,31
Auglaize,3/1/21,137,91
Auglaize,3/2/21,152,34
Auglaize,3/3/21,193,157
Auglaize,3/4/21,263,164
Auglaize,3/5/21,181,132
Auglaize,3/6/21,312,305
Auglaize,3/7/21,21,23
Auglaize,3/8/21,330,199
Auglaize,3/9/21,198,62
Auglaize,3/10/21,362,160
Auglaize,3/11/21,338,181
Auglaize,3/12/21,237,285
Auglaize,3/13/21,50,57
Auglaize,3/14/21,19,12
Auglaize,3/15/21,239,186
Auglaize,3/16/21,147,39
Auglaize,3/17/21,232,122
Auglaize,3/18/21,241,34
Auglaize,3/19/21,219,324
Auglaize,3/20/21,39,194
Auglaize,3/21/21,17,7
Auglaize,3/22/21,106,61
Auglaize,3/23/21,156,112
Auglaize,3/24/21,354,198
Auglaize,3/25/21,197,218
Auglaize,3/26/21,147,504
Auglaize,3/27/21,54,44
Auglaize,3/28/21,23,12
Auglaize,3/29/21,182,200
Auglaize,3/30/21,87,153
Auglaize,3/31/21,331,273
Auglaize,4/1/21,103,229
Auglaize,4/2/21,166,239
Auglaize,4/3/21,65,67
Auglaize,4/4/21,27,13
Auglaize,4/5/21,96,198
Auglaize,4/6/21,77,247
Auglaize,4/7/21,195,216
Auglaize,4/8/21,122,278
Auglaize,4/9/21,184,315
Auglaize,4/10/21,115,114
Auglaize,4/11/21,28,34
Auglaize,4/12/21,64,189
Auglaize,4/13/21,36,146
Auglaize,4/14/21,67,156
Auglaize,4/15/21,20,178
Auglaize,4/16/21,26,226
Auglaize,4/17/21,22,52
Auglaize,4/18/21,15,19
Auglaize,4/19/21,47,104
Auglaize,4/20/21,49,115
Auglaize,4/21/21,34,115
Auglaize,4/22/21,47,146
Auglaize,4/23/21,26,142
Auglaize,4/24/21,18,27
Auglaize,4/25/21,7,4
Belmont,12/14/20,0,0
Belmont,12/15/20,1,0
Belmont,12/16/20,2,0
Belmont,12/17/20,0,0
Belmont,12/18/20,1,0
Belmont,12/19/20,0,0
Belmont,12/20/20,0,0
Belmont,12/21/20,3,0
Belmont,12/22/20,18,0
Belmont,12/23/20,30,0
Belmont,12/24/20,23,0
Belmont,12/25/20,1,0
Belmont,12/26/20,76,0
Belmont,12/27/20,25,0
Belmont,12/28/20,79,0
Belmont,12/29/20,120,0
Belmont,12/30/20,95,0
Belmont,12/31/20,40,0
Belmont,1/1/21,1,0
Belmont,1/2/21,0,0
Belmont,1/3/21,75,0
Belmont,1/4/21,101,1
Belmont,1/5/21,22,1
Belmont,1/6/21,106,1
Belmont,1/7/21,122,1
Belmont,1/8/21,132,4
Belmont,1/9/21,1,0
Belmont,1/10/21,0,0
Belmont,1/11/21,15,2
Belmont,1/12/21,109,4
Belmont,1/13/21,298,4
Belmont,1/14/21,163,22
Belmont,1/15/21,217,1
Belmont,1/16/21,11,45
Belmont,1/17/21,24,32
Belmont,1/18/21,7,3
Belmont,1/19/21,20,6
Belmont,1/20/21,83,15
Belmont,1/21/21,550,72
