,alpha,neg_mean_squared_error,r2,neg_mean_absolute_error
0,0.5,-4553875.400663115,-124.99888682342899,-66.44926050765675
1,0.6,-4257768.175921326,-113.23534686097551,-64.17285179197391
2,0.7,-4010321.9532149103,-104.14647359674747,-62.44589744039661
3,0.8,-3798256.0935243024,-96.86118177877312,-60.978657311751924
4,0.9,-3613047.5321123134,-90.85583400706214,-59.70353346120113
5,1.0,-3448881.3463698053,-85.794602450325,-58.56241874832681
