Date Administered,* Jurisdiction,COVID-19 Doses Administered
5/25/2021,Unknown State,492
5/24/2021,Unknown State,456
5/23/2021,Unknown State,16
5/22/2021,Unknown State,211
5/21/2021,Unknown State,200
5/20/2021,Unknown State,928
5/19/2021,Unknown State,1177
5/18/2021,Unknown State,307
5/17/2021,Unknown State,688
5/16/2021,Unknown State,233
5/15/2021,Unknown State,572
5/14/2021,Unknown State,1270
5/13/2021,Unknown State,1736
5/12/2021,Unknown State,1668
5/11/2021,Unknown State,1913
5/10/2021,Unknown State,1293
5/9/2021,Unknown State,318
5/8/2021,Unknown State,1831
5/7/2021,Unknown State,2217
5/6/2021,Unknown State,5616
5/5/2021,Unknown State,3920
5/4/2021,Unknown State,1843
5/3/2021,Unknown State,1576
5/2/2021,Unknown State,492
5/1/2021,Unknown State,1666
4/30/2021,Unknown State,2396
4/29/2021,Unknown State,4147
4/28/2021,Unknown State,3269
4/27/2021,Unknown State,3030
4/26/2021,Unknown State,1302
4/25/2021,Unknown State,174
4/24/2021,Unknown State,703
4/23/2021,Unknown State,4441
4/22/2021,Unknown State,4479
4/21/2021,Unknown State,3348
4/20/2021,Unknown State,4535
4/19/2021,Unknown State,2368
4/18/2021,Unknown State,447
4/17/2021,Unknown State,802
4/16/2021,Unknown State,6396
4/15/2021,Unknown State,6670
4/14/2021,Unknown State,6291
4/13/2021,Unknown State,4254
4/12/2021,Unknown State,3276
4/11/2021,Unknown State,549
4/10/2021,Unknown State,3871
4/9/2021,Unknown State,10320
4/8/2021,Unknown State,7821
4/7/2021,Unknown State,5707
4/6/2021,Unknown State,4602
4/5/2021,Unknown State,2224
4/4/2021,Unknown State,25
4/3/2021,Unknown State,838
4/2/2021,Unknown State,4629
4/1/2021,Unknown State,4500
3/31/2021,Unknown State,3903
3/30/2021,Unknown State,4155
3/29/2021,Unknown State,2767
3/28/2021,Unknown State,320
3/27/2021,Unknown State,1081
3/26/2021,Unknown State,5986
3/25/2021,Unknown State,4880
3/24/2021,Unknown State,4052
3/23/2021,Unknown State,4116
3/22/2021,Unknown State,2014
3/21/2021,Unknown State,87
3/20/2021,Unknown State,2490
3/19/2021,Unknown State,6580
3/18/2021,Unknown State,4702
3/17/2021,Unknown State,3626
3/16/2021,Unknown State,2361
3/15/2021,Unknown State,1747
3/14/2021,Unknown State,151
3/13/2021,Unknown State,1525
3/12/2021,Unknown State,2740
3/11/2021,Unknown State,2550
3/10/2021,Unknown State,2010
3/9/2021,Unknown State,3062
3/8/2021,Unknown State,1734
3/7/2021,Unknown State,129
3/6/2021,Unknown State,1347
3/5/2021,Unknown State,3229
3/4/2021,Unknown State,3281
3/3/2021,Unknown State,3002
3/2/2021,Unknown State,2866
3/1/2021,Unknown State,2272
2/28/2021,Unknown State,245
2/27/2021,Unknown State,1113
2/26/2021,Unknown State,3352
2/25/2021,Unknown State,3071
2/24/2021,Unknown State,1469
2/23/2021,Unknown State,2126
2/22/2021,Unknown State,1009
2/21/2021,Unknown State,21
2/20/2021,Unknown State,976
2/19/2021,Unknown State,1310
2/18/2021,Unknown State,1428
2/17/2021,Unknown State,564
2/16/2021,Unknown State,570
2/15/2021,Unknown State,331
2/14/2021,Unknown State,158
2/13/2021,Unknown State,740
2/12/2021,Unknown State,2350
2/11/2021,Unknown State,1658
2/10/2021,Unknown State,931
2/9/2021,Unknown State,1094
2/8/2021,Unknown State,793
2/7/2021,Unknown State,65
2/6/2021,Unknown State,473
2/5/2021,Unknown State,2875
2/4/2021,Unknown State,1499
2/3/2021,Unknown State,1402
2/2/2021,Unknown State,1120
2/1/2021,Unknown State,788
1/31/2021,Unknown State,42
1/30/2021,Unknown State,516
1/29/2021,Unknown State,2070
1/28/2021,Unknown State,1300
1/27/2021,Unknown State,1413
1/26/2021,Unknown State,1150
1/25/2021,Unknown State,840
