,kernel,C,epsilon,neg_mean_squared_error,r2,neg_mean_absolute_error,model,degree
3,poly,0.5,0,-25018072.17377505,-682.6718993664582,-79.41221627963657,SVR,3.0
4,poly,0.5,5,-21840814.842930827,-728.4497902065232,-80.57439004260087,SVR,3.0
5,poly,0.5,10,-19124642.61921497,-738.5951506846759,-81.63095379447022,SVR,3.0
6,poly,1.0,0,-165583.23504681405,-4.357299427704689,-28.83602433326114,SVR,2.0
7,poly,1.0,5,-147691.94554162232,-3.588922396420817,-28.852850316675305,SVR,2.0
8,poly,1.0,10,-137922.62161876503,-3.227958556406332,-29.802859283353197,SVR,2.0
9,poly,1.0,0,-36370376.90151164,-955.5440338106716,-90.91504335220144,SVR,3.0
10,poly,1.0,5,-30081734.641978867,-916.506920770329,-90.15024531042336,SVR,3.0
11,poly,1.0,10,-20233166.05312311,-414.46258299666704,-75.17193390568801,SVR,3.0
12,poly,5.0,0,-241855.50809795957,-9.947039657421303,-30.49545508379415,SVR,2.0
13,poly,5.0,5,-245677.8044759825,-10.659361656274402,-30.912905457513546,SVR,2.0
14,poly,5.0,10,-209265.06760447743,-8.185479346972937,-31.509699189983305,SVR,2.0
15,poly,5.0,0,-834472269.0518119,-49587.59504866832,-378.38729334638,SVR,3.0
16,poly,5.0,5,-634685704.5792719,-37288.83115404423,-338.0413232156889,SVR,3.0
17,poly,5.0,10,-430803853.6129135,-24140.866813585297,-288.1822844133191,SVR,3.0
18,poly,10.0,0,-419504.56225946685,-24.404073102980817,-31.77515446747685,SVR,2.0
19,poly,10.0,5,-278643.3446160565,-14.018601166752624,-30.60633179171916,SVR,2.0
20,poly,10.0,10,-159088.01253695742,-5.203532015639209,-29.891180481326472,SVR,2.0
21,poly,10.0,0,-1186306106.8665829,-76436.84504422615,-457.1586492058347,SVR,3.0
22,poly,10.0,5,-707096577.380922,-43687.17720664191,-370.085189729512,SVR,3.0
23,poly,10.0,10,-447495946.5322623,-25511.4263751616,-307.579377750906,SVR,3.0
24,poly,20.0,0,-519660.53984456445,-32.33376538250489,-31.162250809501597,SVR,2.0
25,poly,20.0,5,-275504.9947460094,-14.707588222781007,-29.15598040913924,SVR,2.0
26,poly,20.0,10,-175336.78294620276,-7.253039425810063,-28.85651604817388,SVR,2.0
27,poly,20.0,0,-957152666.739034,-63832.16823486416,-448.6045827537756,SVR,3.0
