,alpha,l1_ratio,neg_mean_squared_error,r2,neg_mean_absolute_error
98,0.9,1.0,-2282.3454743281522,0.9000183133432825,-9.008460005861528
99,1.0,0.0,-2545.443432928373,0.8816003278828802,-13.0055688811584
100,1.0,0.1,-2506.699264466175,0.8827307213553476,-12.850440799952095
101,1.0,0.2,-2458.9640564442943,0.8839361703218347,-12.676577544112225
102,1.0,0.3,-2397.380309112478,0.8853293654164847,-12.475526809940378
103,1.0,0.4,-2321.5277613491457,0.8868772428921711,-12.242565614344482
104,1.0,0.5,-2241.531875533801,0.8886252988730039,-11.970998057089393
105,1.0,0.6,-2152.22592257466,0.8907605926213455,-11.660239675779003
106,1.0,0.7,-2062.9499310402016,0.8931876713923828,-11.289467537546095
107,1.0,0.8,-1988.0730845856758,0.8958333276893847,-10.822952487742773
108,1.0,0.9,-1957.2732056306804,0.8985438762830844,-10.178006749607936
109,1.0,1.0,-2169.5461278069765,0.9002121125458135,-9.136007154909914
