,alpha,l1_ratio,neg_mean_squared_error,r2
90,0.9,0.2,-1718.1062893218714,0.8884336811660418
91,0.9,0.3,-1690.7074791090959,0.8900740078425261
92,0.9,0.4,-1660.1400294817959,0.8918324572302754
93,0.9,0.5,-1624.1085969828705,0.8942900582852797
94,0.9,0.6,-1578.7729495257063,0.897300342846632
95,0.9,0.7,-1521.4995719779677,0.9013266938702125
96,0.9,0.8,-1451.1646198773096,0.9069466324881263
97,0.9,0.9,-1395.1237031521114,0.9138705773750995
98,0.9,1.0,-1481.5183458565348,0.9217021180015971
99,1.0,0.0,-1787.6430457887716,0.8845929146981947
100,1.0,0.1,-1768.742256501218,0.8854888031939236
101,1.0,0.2,-1745.6718949916697,0.886678471166102
102,1.0,0.3,-1717.6618701630778,0.8882492941138486
103,1.0,0.4,-1686.74095171925,0.8901419096463021
104,1.0,0.5,-1652.338983996304,0.8922871859027779
105,1.0,0.6,-1606.8880525445093,0.8952727544260524
106,1.0,0.7,-1545.76899419264,0.8993986092109274
107,1.0,0.8,-1473.7299711899368,0.9047308958460506
108,1.0,0.9,-1411.800183489946,0.9119348554037778
109,1.0,1.0,-1485.8187624711663,0.9200761252795036
