,alpha,l1_ratio,neg_mean_squared_error,r2,neg_mean_absolute_error
0,0.1,0.0,-53567.142535946754,-2.0213581537952447,-13.254602159647279
1,0.1,0.1,-49133.84400695305,-1.7011969371735718,-13.020245426196407
2,0.1,0.2,-45587.5523620393,-1.4482232180172934,-12.798827021162122
3,0.1,0.3,-42312.93639472213,-1.217271582516648,-12.571423079909653
4,0.1,0.4,-38058.13563360578,-0.9195367373736221,-12.285157208291164
5,0.1,0.5,-33547.56648172666,-0.6075994257604844,-11.959441260190825
6,0.1,0.6,-30007.847315718987,-0.3699112559589312,-11.65015216800162
7,0.1,0.7,-27887.019349083577,-0.23672310857822032,-11.359885684292289
8,0.1,0.8,-28435.208633743077,-0.30198490407926387,-11.166667649762765
9,0.1,0.9,-32514.122873644865,-0.6271055961521349,-11.068116671984153
10,0.1,1.0,-48951.10944718875,-1.7980384679652797,-11.015062525652539
11,0.2,0.0,-41940.33666632938,-1.1834942558601058,-13.678818029215032
12,0.2,0.1,-38880.32245980471,-0.9457479830852434,-13.430122421953856
13,0.2,0.2,-34997.99967120839,-0.6494409549756056,-13.125957776339366
14,0.2,0.3,-31090.73139450024,-0.35529785208379727,-12.788756764709134
15,0.2,0.4,-27897.402018597808,-0.11167338725789527,-12.448138948425864
16,0.2,0.5,-25238.608093889456,0.09055335497909071,-12.105526774087625
17,0.2,0.6,-22798.214327053975,0.26945342329601013,-11.727311336319307
18,0.2,0.7,-21402.373875526646,0.3587891355861376,-11.383059256679243
19,0.2,0.8,-20154.633507635506,0.41374831360419817,-11.00557951465853
20,0.2,0.9,-19406.604227152144,0.42066549682046017,-10.58036169831408
21,0.2,1.0,-37540.78454915219,-0.8415416878897116,-10.575966637024367
22,0.3,0.0,-38924.87682856159,-0.963978392398854,-14.120432659654412
23,0.3,0.1,-35581.85263891486,-0.6952498937487918,-13.829547246377219
24,0.3,0.2,-32391.11655342989,-0.43990528023204845,-13.517183202245686
25,0.3,0.3,-29453.054416260227,-0.19609584477985129,-13.167859694178064
26,0.3,0.4,-26791.186135053216,0.01673687179057952,-12.808780964135401
27,0.3,0.5,-24031.07971033507,0.22873892935603657,-12.389675583461566
28,0.3,0.6,-22085.17905998368,0.37925676046206175,-11.973250237757231
29,0.3,0.7,-21119.03233891994,0.4577671361708765,-11.592600044717791
30,0.3,0.8,-20360.0022708787,0.501679865689383,-11.185601602941933
31,0.3,0.9,-19224.04052522725,0.5491226748555815,-10.632261041517879
32,0.3,1.0,-24838.064059930406,0.14965303551741996,-9.974898783371238
33,0.4,0.0,-38665.68231263243,-0.9296194058829104,-14.527134386674943
34,0.4,0.1,-35400.79965603946,-0.6586381906547819,-14.221063716827366
35,0.4,0.2,-32072.930380021568,-0.3831663322905354,-13.878500676458176
36,0.4,0.3,-28730.30054536773,-0.11600078619430781,-13.49283399456951
37,0.4,0.4,-25873.57815640573,0.1126777118891249,-13.089861505149738
38,0.4,0.5,-23375.408904575237,0.3123805183535481,-12.632449323340472
39,0.4,0.6,-22287.332466593867,0.4063884864613963,-12.252959497623824
40,0.4,0.7,-21646.821744595378,0.4675337215257451,-11.855823564612388
41,0.4,0.8,-21219.463538934786,0.5151918645231733,-11.388735904448694
42,0.4,0.9,-20511.523619902186,0.5769751905820739,-10.720917679358605
43,0.4,1.0,-21847.801775546388,0.4864823418680503,-9.718586899006588
44,0.5,0.0,-38240.54793727331,-0.8800237765356652,-14.850048976349568
45,0.5,0.1,-35112.93978850481,-0.6206495508008756,-14.536158822184312
46,0.5,0.2,-31442.23680853165,-0.3246512050729195,-14.159739486279733
47,0.5,0.3,-28449.14564496788,-0.08088259245080645,-13.774576941173056
48,0.5,0.4,-25464.183803230186,0.1555824742854194,-13.35126083054286
49,0.5,0.5,-23389.20967292326,0.32218354030028795,-12.925608792568362
50,0.5,0.6,-22812.46577843114,0.39978786521687076,-12.541806475035495
51,0.5,0.7,-22303.21326068781,0.4677465499519256,-12.099390959991066
52,0.5,0.8,-22083.273386036526,0.5253152224346831,-11.570872901523357
53,0.5,0.9,-21878.792543989563,0.5745275056743687,-10.85646750175027
54,0.5,1.0,-20752.128564428247,0.615249538201821,-9.494871232637726
55,0.6,0.0,-37905.57126650822,-0.8368657704379919,-15.127069690256027
56,0.6,0.1,-34369.10145696775,-0.5518868837827596,-14.790466588397557
57,0.6,0.2,-31037.538152252306,-0.27533404850456455,-14.412942994432587
58,0.6,0.3,-28355.72615243734,-0.05514704132559773,-14.039262253675096
59,0.6,0.4,-25274.282686652372,0.17821026082019317,-13.598674419438957
