,feature_selection__k,neg_mean_squared_error,r2,neg_mean_absolute_error
0,20,-15403.454119733136,0.3145527594043767,-17.659825727523245
1,30,-15438.524152745984,0.31378612695609254,-17.498429515595802
2,50,-16999.255884557828,0.22649058155738994,-19.0856981900562
